LAU_NAME,cells,pop,A_mean,A_popw,A_p05,A_p95,Gini
Instinción,33.0,467.0,0.00014998146994545455,0.0001760193894224839,9.6666293862e-05,0.00021325424303999998,0.003763481356630183
Laroya,22.0,194.0,0.00023351104210909092,0.00023256712997680412,0.00020731688553,0.000255933373735,0.007855525227311366
Lorca,40.0,102.0,2.2622817220775e-06,2.2606973426941178e-06,0.0,4.693346347799999e-06,0.33887246731301146
Lubrín,137.0,1474.0,0.0001401706623662774,0.00013662512409240164,0.00010490502390000001,0.00018999381196,0.056363665391358175
Lucainena de las Torres,122.0,599.0,5.0843650925819675e-05,3.913987919370618e-05,2.5220226477e-05,0.00011598519129999998,0.07783549377593213
Láujar de Andarax,95.0,1590.0,0.00019378260558631575,0.00017974900845597487,0.00012444656763,0.0002811311411,0.018578694076399005
Líjar,29.0,414.0,0.0002429995263551724,0.00024196256739275363,0.00022273076668,0.00026416242262,0.007330083437777191
Lúcar,92.0,780.0,5.248955096869565e-05,9.670120764721795e-05,1.8174220335e-05,0.00010590852687000001,0.10036314446276895
Macael,46.0,5484.0,0.00021771476783913045,0.0001835611791697666,0.00018020885704999999,0.00025459930694999997,0.014356673030518574
María,208.0,1267.0,2.629070912519231e-07,5.385235221782163e-07,0.0,1.1230450660999985e-06,0.11594953610720238
"Mojonera, La",23.0,8451.0,2.4592428745217383e-05,2.2945257291263756e-05,1.9271076791e-05,3.018003615e-05,0.04678396529534312
Mojácar,64.0,2679.0,6.07561395671875e-05,5.23305461546286e-05,4.7979862958e-05,7.332002514000001e-05,0.03678823859038571
Nacimiento,81.0,486.0,0.00024498174251358026,0.0002413742016084362,0.0002022747367,0.0003002121603,0.012767217726193492
Nevada,4.0,0.0,0.000113561987675,,0.00011126477001,0.000115728901005,
Níjar,590.0,31345.0,1.427142122847502e-05,9.272849801115858e-06,0.0,4.882336435849999e-05,0.444510814348006
Ohanes,34.0,561.0,0.0003284312225794118,0.0002876301692319073,0.000286177487725,0.000366462345065,0.0010746888513585295
Olula de Castro,32.0,189.0,0.000156111701634375,0.00015990286610052912,0.000130817429565,0.00017396603792,0.0037125961734834068
Olula del Río,21.0,6176.0,0.00012057474149047618,0.00014873655512514573,8.27708508e-05,0.0001666070691,0.021081662877880603
Orce,4.0,0.0,1.001213926e-06,,1.7994399390000002e-07,1.4701969231e-06,
Oria,227.0,2231.0,3.189434418609691e-05,3.449586366241999e-05,8.923700800100001e-06,6.460853674999999e-05,0.17691980120531992
Padules,26.0,436.0,0.00016727638517846153,0.00022064851676307338,0.0001044888192,0.000233560422225,0.0024476069933342393
Partaloa,55.0,962.0,0.00010177489931727273,0.00011634926205847193,7.2378621968e-05,0.0001342554749,0.06607820023520883
Paterna del Río,43.0,396.0,0.00015549883562558138,0.0001442128066638889,0.00012948344265,0.00018689651378,0.01889279684952161
Pechina,47.0,4012.0,2.0915453300851068e-05,2.514436121062064e-05,1.5015223108e-05,2.7095913595e-05,0.03537582981053766
Puerto Lumbreras,13.0,70.0,4.229290026307693e-06,4.492262060542858e-06,3.6441145069999998e-06,4.7912065806e-06,0.038682620539424506
Pulpí,74.0,9430.0,2.2968509908391893e-06,2.3840020724217393e-06,6.31292189655e-07,4.639551370599998e-06,0.1842847950147296
Purchena,55.0,1629.0,0.00012025752194327274,0.00015022115625966235,3.5775545014e-05,0.00019603697223,0.04589226058697904
Rioja,36.0,1603.0,4.017573737e-05,4.211741315164066e-05,2.9120016744999998e-05,5.36396527325e-05,0.03851133586711375
Roquetas de Mar,65.0,94640.0,2.0919584122307693e-05,1.9798559586868446e-05,1.5740970829999997e-05,3.1077968757999995e-05,0.07517424720868493
Rágol,27.0,304.0,0.00020010406712222222,0.00018319604656085527,0.00014480179226000002,0.00026512390503,0.002063866681597415
Santa Cruz de Marchena,19.0,190.0,0.00015776247711052634,0.00017019227051,0.00013550350708,0.00017845644526999998,0.004129934801937352
Santa Fe de Mondújar,36.0,558.0,9.096301642527777e-05,8.254446763442653e-05,6.967458685499999e-05,0.00011484805695,0.09534010277434457
Senés,51.0,298.0,0.0002299415763764706,0.00024126181474999996,0.0001885738695,0.00026019956995,0.01473870494533669
Serón,164.0,2255.0,0.00010818459675640244,0.00011539212019113083,3.41882980455e-05,0.00017464237105499998,0.09044000346319292
Sierro,27.0,379.0,0.0002186132525888889,0.00018886622421451186,0.00018030362494,0.00024395869774,0.00571300408363562
Somontín,18.0,444.0,7.08196546661111e-05,9.597331254639638e-05,2.4566726446500002e-05,0.00011468491006999998,0.03435088537794706
Sorbas,247.0,2490.0,8.604765473587044e-05,8.088599752942971e-05,5.1515009393e-05,0.00015540693846,0.09468458137290936
Suflí,11.0,195.0,0.00019264500878181815,0.00016357933552923077,0.00016333246080000002,0.00022347210815,0.9695606370088605
Tabernas,280.0,3887.0,8.063848231746428e-05,5.9365665156279914e-05,2.7751005099e-05,0.000152628177635,0.07523848085280349
Taberno,43.0,1026.0,4.95801593155814e-05,5.6282146193313844e-05,3.4287854566e-05,6.5432368293e-05,0.06214081360167922
Tahal,93.0,338.0,0.00022792599734731183,0.000274255433918639,0.00014603579392,0.0002777682001,0.021243188218854958
Terque,16.0,353.0,0.00010267538978124999,0.0001361770434490085,7.450914402e-05,0.00014204668654999999,0.003694598005780092
"Tres Villas, Las",84.0,562.0,0.00029913860182023813,0.00032513837615960855,0.00021433373099,0.00036334891222499996,0.025864507529617775
Turre,106.0,3974.0,7.596528174301887e-05,6.99375223025994e-05,6.69924517025e-05,8.1885619935e-05,0.017751404690071748
Turrillas,36.0,255.0,3.424609140111111e-05,3.488471542498039e-05,1.78518774675e-05,5.6306904539999996e-05,0.071420521279698
Turón,6.0,1.0,8.7952802505e-05,9.06581825e-05,7.953754766250001e-05,9.1425350685e-05,0.0
Tíjola,59.0,3306.0,8.224647104254239e-05,0.00015202648642215666,3.0305817195000002e-05,0.00015348490451,0.013308638580367238
Ugíjar,1.0,0.0,0.0001114572662,,0.0001114572662,0.0001114572662,
Uleila del Campo,38.0,810.0,0.0001938701539868421,0.0002208578876481481,0.00015629012067000002,0.00023052331386,0.0036043601952546744
Urrácal,27.0,371.0,9.423824790481481e-05,8.876352255134771e-05,7.3143938989e-05,0.00011758880295,0.02951022700485595
Velefique,65.0,234.0,0.0002087262189230769,0.00020878761246923076,0.00015903492524,0.00024602768688,0.00020286243617206878
Vera,57.0,16789.0,5.433583412157895e-05,5.38521651117172e-05,3.6649742952e-05,7.231795838999999e-05,0.08096336168381768
Viator,21.0,6356.0,1.295306768395238e-05,1.615376473224355e-05,1.002697061e-05,1.652878609e-05,0.02366437529875398
Vélez-Blanco,425.0,2306.0,2.6767650082564704e-07,1.239252126306288e-06,0.0,1.771339647999999e-06,0.32178394247058517
Vélez-Rubio,280.0,6099.0,1.100580697515e-05,3.744519362695852e-06,2.7697653638e-06,2.6981534495500002e-05,0.18088185837105386
Vícar,67.0,30804.0,2.939260839671642e-05,2.4346403843924817e-05,2.1816714471999998e-05,4.1485156973999995e-05,0.033213132324405925
Zurgena,71.0,2940.0,9.886756014352114e-05,0.0001042577952522891,6.581456278e-05,0.0001346587758,0.052943260629996436
Íllar,17.0,434.0,0.00015495955730588236,0.00015904177446105988,0.00012632967898000002,0.00019667385345999998,0.005277286473244436
