cells,total_pop,pct_A_gt_0,A_mean,A_p05,A_p95,Gini,scenario
8705,707282.0,93.7,4.100203313529823e-05,0.0,0.00026274925743,0.5305734692986679,base
8705,707282.0,82.4,4.100203313529823e-05,0.0,0.0004025920454637,0.6708851899848881,r20
