cell_id,lon,lat
0,-2.1949556240365906,36.73498597083395
1,-2.1839475632717327,36.736423041439245
2,-2.172939116619752,36.73785882417269
3,-2.161930284390024,36.7392933189627
4,-2.1509210668920313,36.74072652573783
5,-2.1399114644353765,36.74215844442659
6,-2.1289014773297734,36.743589074957654
7,-2.207527353820759,36.74250828760951
8,-2.196518333229679,36.74394685901119
9,-2.18550892622279,36.74538414243422
10,-2.1744991331095105,36.746820137806935
11,-2.163488954199374,36.748254845057765
12,-2.152478389802044,36.74968826411514
13,-2.141467440227273,36.75112039490762
14,-2.130456105784952,36.75255123736375
15,-2.1194443867850694,36.75398079141217
16,-2.2201019624517007,36.75002874090184
17,-2.209091982314284,36.75146881346531
18,-2.198081615232008,36.75290759794339
19,-2.1870708615143517,36.754345094264345
20,-2.176059721470887,36.75578130235649
21,-2.165048195411331,36.757216222148195
22,-2.154036283645497,36.75864985356787
23,-2.143023986483306,36.760082196544005
24,-2.132011304234814,36.76151325100512
25,-2.1209982372101788,36.762943016879795
26,-2.1099847857196656,36.7643714940967
27,-2.7387584744422617,36.68984364043425
28,-2.7277656914510966,36.69134439275392
29,-2.716772506872827,36.69284386024512
30,-2.705778921011626,36.69434204283354
31,-2.6947849341717767,36.69583894044488
32,-2.6837905466576806,36.69733455300493
33,-2.2326794506397234,36.757547330042826
34,-2.22166851123647,36.75898890413349
35,-2.210657184358947,36.76042919003215
36,-2.199645470316684,36.76186818766692
37,-2.1886333694193167,36.76330589696606
38,-2.177620881976595,36.764742317857824
39,-2.1666080082983905,36.76617745027052
40,-2.155594748694684,36.767611294132536
41,-2.1445811034755655,36.769043849372316
42,-2.1335670729512546,36.77047511591834
43,-2.1225526574320663,36.77190509369916
44,-2.1115378572284444,36.77333378264337
45,-2.1005226726509405,36.77476118267962
46,-2.7733686102311728,36.69428279167775
47,-2.76237569782558,36.69578762032382
48,-2.7513823826929356,36.69729116418843
49,-2.740388665137223,36.69879342319698
50,-2.7293945454625255,36.70029439727502
51,-2.7184000239730595,36.70179408634811
52,-2.707405100973152,36.70329249034185
53,-2.6964097767672426,36.70478960918194
54,-2.6854140516599085,36.70628544279408
55,-2.674417925955824,36.70777999110407
56,-2.6634213999597907,36.709273254037726
57,-2.652424473976734,36.71076523152095
58,-2.64142714831168,36.71225592347969
59,-2.23424792070676,36.76650713034731
60,-2.223235634314738,36.76794891803207
61,-2.2122229602282544,36.76938941734632
62,-2.201209898757002,36.77082862821813
63,-2.1901964502107907,36.77226655057573
