cell_id,A_E2SFCA,A_per_10k,pop
166,1.731508828e-05,0.1731508828,7
167,1.674771242e-05,0.1674771242,436
168,1.61389289e-05,0.161389289,3161
169,3.056165281e-07,0.003056165281,0
170,2.568087498e-07,0.002568087498,0
171,2.136485014e-07,0.002136485014,7
172,1.759733655e-07,0.001759733655,395
173,1.434997302e-07,0.001434997302,18
174,1.158543338e-07,0.001158543338,0
175,9.260416904e-08,0.0009260416904,0
176,7.328344029e-08,0.0007328344029,0
177,0,0,0
178,8.583708242e-07,0.008583708242,0
179,1.071343965e-06,0.01071343965,6
180,1.323853605e-06,0.01323853605,10
181,1.619601061e-06,0.01619601061,30
182,1.961702737e-06,0.01961702737,0
183,2.352422901e-06,0.02352422901,2
184,2.792895295e-06,0.02792895295,33
185,3.28284944e-06,0.0328284944,3
186,3.820360371e-06,0.03820360371,0
187,4.401642362e-06,0.04401642362,0
188,5.020907601e-06,0.05020907601,266
189,2.909050656e-05,0.2909050656,0
190,2.854041752e-05,0.2854041752,0
191,2.799693492e-05,0.2799693492,541
192,2.746269896e-05,0.2746269896,455
193,2.693788732e-05,0.2693788732,39
194,2.664232378e-05,0.2664232378,8
195,2.617291936e-05,0.2617291936,0
196,2.570919578e-05,0.2570919578,4
197,2.524668492e-05,0.2524668492,0
198,2.419367215e-05,0.2419367215,0
199,2.380881899e-05,0.2380881899,14
200,2.340345446e-05,0.2340345446,13
201,2.297434121e-05,0.2297434121,13
202,2.258330059e-05,0.2258330059,0
203,2.18446652e-05,0.218446652,0
204,2.142405117e-05,0.2142405117,0
205,2.115241412e-05,0.2115241412,0
206,2.068171379e-05,0.2068171379,3
207,2.017697383e-05,0.2017697383,217
208,1.916777708e-05,0.1916777708,16
209,1.870656343e-05,0.1870656343,3
210,1.819309769e-05,0.1819309769,11
211,1.763137881e-05,0.1763137881,441
212,1.702508819e-05,0.1702508819,2525
213,1.674580066e-05,0.1674580066,2375
214,4.236899112e-07,0.004236899112,0
215,3.59603613e-07,0.00359603613,0
216,3.021739526e-07,0.003021739526,1
217,2.513894568e-07,0.002513894568,21
218,2.070590175e-07,0.002070590175,17
219,1.688489224e-07,0.001688489224,6
220,1.363199735e-07,0.001363199735,6
221,1.089626728e-07,0.001089626728,0
222,8.622894207e-08,0.0008622894207,0
223,8.861614201e-07,0.008861614201,0
224,1.031976402e-06,0.01031976402,7
225,1.28802338e-06,0.0128802338,9
226,1.591603118e-06,0.01591603118,0
227,1.947165525e-06,0.01947165525,0
228,2.358457296e-06,0.02358457296,0
229,2.828200649e-06,0.02828200649,0
230,3.357758625e-06,0.03357758625,0
231,3.94680604e-06,0.0394680604,0
232,4.593028606e-06,0.04593028606,0
233,5.291874933e-06,0.05291874933,0
234,6.036386624e-06,0.06036386624,0
235,6.81713006e-06,0.0681713006,0
236,3.266291911e-05,0.3266291911,1329
237,3.192156281e-05,0.3192156281,0
238,3.117564066e-05,0.3117564066,0
239,3.043427661e-05,0.3043427661,574
240,2.970350514e-05,0.2970350514,13
241,2.921780012e-05,0.2921780012,0
242,2.856353781e-05,0.2856353781,0
243,2.792952155e-05,0.2792952155,0
244,2.731348373e-05,0.2731348373,1
245,2.671215098e-05,0.2671215098,27
246,2.612167993e-05,0.2612167993,1
247,2.489480316e-05,0.2489480316,1
248,2.441632303e-05,0.2441632303,8
249,2.392495518e-05,0.2392495518,39
250,2.349224561e-05,0.2349224561,0
251,2.268966753e-05,0.2268966753,0
252,2.245189935e-05,0.2245189935,14
253,2.200533339e-05,0.2200533339,954
254,2.152793102e-05,0.2152793102,5176
255,2.102093738e-05,0.2102093738,1230
256,2.048489096e-05,0.2048489096,293
257,1.985348197e-05,0.1985348197,2412
258,1.939384551e-05,0.1939384551,1540
259,1.888203368e-05,0.1888203368,5328
260,1.832059333e-05,0.1832059333,16546
261,1.771203671e-05,0.1771203671,5654
262,4.935741278e-07,0.004935741278,0
263,4.189173142e-07,0.004189173142,0
264,3.520150969e-07,0.003520150969,10
265,2.928541101e-07,0.002928541101,0
266,2.412117241e-07,0.002412117241,179
267,1.966991836e-07,0.001966991836,295
268,1.588048482e-07,0.001588048482,9
269,1.269351825e-07,0.001269351825,6
270,8.656691242e-07,0.008656691242,11
271,1.053074532e-06,0.01053074532,8
272,1.289397693e-06,0.01289397693,7
273,1.533118133e-06,0.01533118133,7
274,1.894465302e-06,0.01894465302,0
275,2.317686791e-06,0.02317686791,0
276,2.807242247e-06,0.02807242247,0
277,3.366371889e-06,0.03366371889,0
278,3.99669813e-06,0.0399669813,0
279,4.697833908e-06,0.04697833908,0
280,5.467024553e-06,0.05467024553,0
281,6.298852602e-06,0.06298852602,0
282,7.185035564e-06,0.07185035564,0
283,8.11434472e-06,0.0811434472,6
284,9.072668455e-06,0.09072668455,0
285,3.674718969e-05,0.3674718969,1661
286,3.582164697e-05,0.3582164697,1352
287,3.486744683e-05,0.3486744683,2
288,3.390126203e-05,0.3390126203,0
289,3.293646342e-05,0.3293646342,0
290,3.221960172e-05,0.3221960172,15
291,3.133651404e-05,0.3133651404,1
292,3.04836858e-05,0.304836858,8
293,2.96630898e-05,0.296630898,2
294,2.88746071e-05,0.288746071,0
295,2.811649826e-05,0.2811649826,0
296,2.738584439e-05,0.2738584439,2
297,2.667892535e-05,0.2667892535,3
298,2.599151511e-05,0.2599151511,781
299,2.481107416e-05,0.2481107416,1398
300,2.445609318e-05,0.2445609318,85
301,2.394781453e-05,0.2394781453,65
302,2.319984474e-05,0.2319984474,36
303,2.274640287e-05,0.2274640287,45
304,2.226906202e-05,0.2226906202,47
305,2.215316894e-05,0.2215316894,121
306,2.16725197e-05,0.216725197,242
307,2.116627487e-05,0.2116627487,37
308,2.025222911e-05,0.2025222911,4
309,1.977887314e-05,0.1977887314,196
310,1.925189379e-05,0.1925189379,2103
311,1.867311541e-05,0.1867311541,5103
312,1.804469288e-05,0.1804469288,13
313,7.862275611e-07,0.007862275611,0
314,5.692639814e-07,0.005692639814,0
315,4.83158506e-07,0.00483158506,0
316,4.059967982e-07,0.004059967982,0
317,3.377634428e-07,0.003377634428,0
318,2.782016696e-07,0.002782016696,9
319,2.268631074e-07,0.002268631074,0
320,1.831576557e-07,0.001831576557,0
321,1.464007599e-07,0.001464007599,0
322,1.017621861e-06,0.01017621861,0
323,1.239014386e-06,0.01239014386,0
324,1.517950974e-06,0.01517950974,13
325,1.806693781e-06,0.01806693781,13
326,2.232521164e-06,0.02232521164,16
327,2.731263965e-06,0.02731263965,3
328,3.308177627e-06,0.03308177627,0
329,3.967080569e-06,0.03967080569,0
330,4.709884711e-06,0.04709884711,0
331,5.536133923e-06,0.05536133923,0
332,6.442581981e-06,0.06442581981,0
333,7.422844709e-06,0.07422844709,0
334,8.467161654e-06,0.08467161654,0
335,9.562300401e-06,0.09562300401,279
336,1.06916312e-05,0.106916312,122
337,1.183539105e-05,0.1183539105,9
338,4.132846346e-05,0.4132846346,24
339,4.025035135e-05,0.4025035135,85
340,3.910483679e-05,0.3910483679,27
341,3.791644615e-05,0.3791644615,10
342,3.670676415e-05,0.3670676415,5
343,3.573111723e-05,0.3573111723,12
344,3.458496991e-05,0.3458496991,10
345,3.347071434e-05,0.3347071434,4
346,3.239675123e-05,0.3239675123,0
347,3.136832256e-05,0.3136832256,287
348,3.038790502e-05,0.3038790502,0
349,2.945564836e-05,0.2945564836,3
350,2.856981458e-05,0.2856981458,156
351,2.772718256e-05,0.2772718256,908
352,2.698189221e-05,0.2698189221,3256
353,2.642339971e-05,0.2642339971,110
354,2.514516349e-05,0.2514516349,14
355,2.460859891e-05,0.2460859891,0
356,2.382964151e-05,0.2382964151,57
357,2.376672088e-05,0.2376672088,127
358,2.335206019e-05,0.2335206019,43
359,2.292283537e-05,0.2292283537,192
360,2.247576282e-05,0.2247576282,212
361,2.200684453e-05,0.2200684453,88
362,2.107560546e-05,0.2107560546,92
363,2.065547613e-05,0.2065547613,56
364,2.017736816e-05,0.2017736816,38
365,1.964221381e-05,0.1964221381,1397
366,1.905136748e-05,0.1905136748,153
367,1.840690235e-05,0.1840690235,0
368,1.039828982e-06,0.01039828982,0
369,8.808102085e-07,0.008808102085,0
370,6.500280239e-07,0.006500280239,0
371,5.517063772e-07,0.005517063772,0
372,4.635973907e-07,0.004635973907,0
373,3.856834622e-07,0.003856834622,0
374,3.176713922e-07,0.003176713922,0
375,2.590491972e-07,0.002590491972,0
376,2.091430564e-07,0.002091430564,2
377,9.852158259e-07,0.009852158259,310
378,1.184399682e-06,0.01184399682,193
379,1.443325562e-06,0.01443325562,5
380,1.769271804e-06,0.01769271804,16
381,2.169648068e-06,0.02169648068,0
382,2.604723145e-06,0.02604723145,0
383,3.186615463e-06,0.03186615463,0
384,3.859711151e-06,0.03859711151,56
385,4.628465226e-06,0.04628465226,5
386,5.495108361e-06,0.05495108361,0
387,6.459108381e-06,0.06459108381,0
388,7.516677856e-06,0.07516677856,0
389,8.660368253e-06,0.08660368253,0
390,9.878791873e-06,0.09878791873,0
391,1.115651022e-05,0.1115651022,0
392,1.247412105e-05,0.1247412105,0
393,1.380856652e-05,0.1380856652,16
394,1.513367118e-05,0.1513367118,0
395,1.642090338e-05,0.1642090338,5
396,4.634344219e-05,0.4634344219,674
397,4.517172375e-05,0.4517172375,2087
398,4.387887531e-05,0.4387887531,278
399,4.249659022e-05,0.4249659022,31
400,4.105466033e-05,0.4105466033,71
401,3.981311902e-05,0.3981311902,1
402,3.838656932e-05,0.3838656932,15
403,3.698126531e-05,0.3698126531,30
404,3.561407908e-05,0.3561407908,28
405,3.42978767e-05,0.342978767,1301
406,3.304169897e-05,0.3304169897,1044
407,3.185107109e-05,0.3185107109,1274
408,3.072839473e-05,0.3072839473,11
409,2.96733775e-05,0.296733775,142
410,2.868346167e-05,0.2868346167,139
411,2.801779603e-05,0.2801779603,1
412,2.720750281e-05,0.2720750281,14
413,2.645672168e-05,0.2645672168,118
414,2.552432822e-05,0.2552432822,180
415,2.478412688e-05,0.2478412688,35
416,2.440354244e-05,0.2440354244,40
417,2.402130397e-05,0.2402130397,79
418,2.363306628e-05,0.2363306628,120
419,2.323344607e-05,0.2323344607,170
420,2.28163222e-05,0.228163222,214
421,2.23752003e-05,0.223752003,403
422,2.152792028e-05,0.2152792028,85
423,2.111381801e-05,0.2111381801,145
424,2.063673944e-05,0.2063673944,325
425,2.009703042e-05,0.2009703042,81
426,1.949589161e-05,0.1949589161,835
427,1.883562736e-05,0.1883562736,33
428,1.602967661e-06,0.01602967661,973
429,1.36196956e-06,0.0136196956,18
430,9.789217262e-07,0.009789217262,0
431,7.348649093e-07,0.007348649093,0
432,6.237110431e-07,0.006237110431,0
433,5.241027186e-07,0.005241027186,0
434,4.360200361e-07,0.004360200361,0
435,3.591315301e-07,0.003591315301,0
436,2.928583966e-07,0.002928583966,0
437,2.364388727e-07,0.002364388727,4
438,1.133920022e-06,0.01133920022,4
439,1.364857009e-06,0.01364857009,0
440,1.664649192e-06,0.01664649192,0
441,2.041724549e-06,0.02041724549,0
442,2.504661701e-06,0.02504661701,0
443,3.008739645e-06,0.03008739645,0
444,3.680888811e-06,0.03680888811,8
445,4.458387827e-06,0.04458387827,230
446,5.346382725e-06,0.05346382725,0
447,6.347450176e-06,0.06347450176,0
448,7.460975459e-06,0.07460975459,6
449,8.68258368e-06,0.0868258368,0
450,1.000367097e-05,0.1000367097,0
451,1.141108329e-05,0.1141108329,0
452,1.288698749e-05,0.1288698749,0
453,1.440897188e-05,0.1440897188,0
454,1.59504021e-05,0.159504021,23
455,1.748104268e-05,0.1748104268,8
456,1.896793643e-05,0.1896793643,0
457,5.357487463e-05,0.5357487463,0
458,5.378602448e-05,0.5378602448,0
459,5.366500207e-05,0.5366500207,1
460,5.322744308e-05,0.5322744308,0
461,5.26307594e-05,0.526307594,4
462,5.167609039e-05,0.5167609039,13
463,5.049717718e-05,0.5049717718,197
464,4.912983193e-05,0.4912983193,41
465,4.76111054e-05,0.476111054,7
466,4.597789538e-05,0.4597789538,41
467,4.449011088e-05,0.4449011088,71
468,4.278954134e-05,0.4278954134,91
469,4.108386443e-05,0.4108386443,234
470,3.939997931e-05,0.3939997931,137
471,3.77603728e-05,0.377603728,463
472,3.618294884e-05,0.3618294884,12652
473,3.592584013e-05,0.3592584013,12381
474,3.45600845e-05,0.345600845,3293
475,3.327260755e-05,0.3327260755,33
476,3.206366356e-05,0.3206366356,2573
477,3.112782719e-05,0.3112782719,1475
478,3.018643237e-05,0.3018643237,81
479,2.926595276e-05,0.2926595276,179
480,2.882735576e-05,0.2882735576,46
481,2.811207859e-05,0.2811207859,37
482,2.656736149e-05,0.2656736149,190
483,2.496901956e-05,0.2496901956,54
484,2.463238157e-05,0.2463238157,56
485,2.429939422e-05,0.2429939422,183
486,2.396227269e-05,0.2396227269,115
487,2.443247328e-05,0.2443247328,187
488,2.411426765e-05,0.2411426765,532
489,2.33368581e-05,0.233368581,725
490,2.304267779e-05,0.2304267779,813
491,2.2670567e-05,0.22670567,606
492,2.221871367e-05,0.2221871367,3515
493,2.168657111e-05,0.2168657111,2461
494,2.107516729e-05,0.2107516729,3868
495,2.038729968e-05,0.2038729968,302
496,2.787293908e-06,0.02787293908,0
497,2.423809167e-06,0.02423809167,0
498,2.092792358e-06,0.02092792358,493
499,1.793824245e-06,0.01793824245,1238
500,1.526072878e-06,0.01526072878,1670
501,1.288339959e-06,0.01288339959,0
502,8.225077419e-07,0.008225077419,0
503,6.980972356e-07,0.006980972356,0
504,5.866092368e-07,0.005866092368,0
505,4.880214728e-07,0.004880214728,0
506,4.01962946e-07,0.00401962946,0
507,3.277858222e-07,0.003277858222,0
508,1.096505301e-06,0.01096505301,0
509,1.29216647e-06,0.0129216647,25
510,1.557229824e-06,0.01557229824,10
511,1.900865403e-06,0.01900865403,0
512,2.332734747e-06,0.02332734747,0
513,2.862670497e-06,0.02862670497,0
514,3.500245925e-06,0.03500245925,0
515,4.209522097e-06,0.04209522097,0
516,5.09868215e-06,0.0509868215,0
517,6.114207023e-06,0.06114207023,28
518,7.25904344e-06,0.0725904344,0
519,8.532488395e-06,0.08532488395,0
520,9.92953869e-06,0.0992953869,0
521,1.144035481e-05,0.1144035481,0
522,1.304989358e-05,0.1304989358,0
523,1.473776074e-05,0.1473776074,0
524,1.647832593e-05,0.1647832593,0
525,1.824112967e-05,0.1824112967,149
526,1.999159421e-05,0.1999159421,172
527,2.169202919e-05,0.2169202919,610
528,5.123215154e-05,0.5123215154,18
529,5.330033792e-05,0.5330033792,3054
530,5.504924865e-05,0.5504924865,7796
531,5.645044378e-05,0.5645044378,5417
532,5.748354714e-05,0.5748354714,0
533,5.813687103e-05,0.5813687103,1664
534,5.840767834e-05,0.5840767834,1996
535,5.830206609e-05,0.5830206609,329
536,5.783447537e-05,0.5783447537,78
537,5.71587767e-05,0.571587767,1
538,5.608346093e-05,0.5608346093,0
539,5.474211951e-05,0.5474211951,0
540,5.317423385e-05,0.5317423385,3
541,5.142152074e-05,0.5142152074,2
542,4.952635043e-05,0.4952635043,51
543,4.779927821e-05,0.4779927821,19
544,4.581076565e-05,0.4581076565,26
545,4.509028528e-05,0.4509028528,107
546,4.321886662e-05,0.4321886662,142
547,4.139174162e-05,0.4139174162,273
548,3.962986457e-05,0.3962986457,3712
549,3.794896753e-05,0.3794896753,7317
550,3.635975134e-05,0.3635975134,272
551,3.486824481e-05,0.3486824481,150
552,3.366918285e-05,0.3366918285,4177
553,3.248498192e-05,0.3248498192,705
554,3.172659634e-05,0.3172659634,30
555,3.077481376e-05,0.3077481376,45
556,2.992483505e-05,0.2992483505,24
557,2.916726115e-05,0.2916726115,15
558,2.820395435e-05,0.2820395435,123
559,2.707183444e-05,0.2707183444,1083
560,2.755386357e-05,0.2755386357,287
561,2.727369731e-05,0.2727369731,334
562,2.69888965e-05,0.269888965,115
563,2.550656146e-05,0.2550656146,386
564,2.529204926e-05,0.2529204926,3547
565,2.456765869e-05,0.2456765869,4639
566,2.438224802e-05,0.2438224802,6828
567,2.410852361e-05,0.2410852361,3080
568,2.374289205e-05,0.2374289205,3971
569,2.328329511e-05,0.2328329511,4132
570,2.272956303e-05,0.2272956303,7200
571,2.20836427e-05,0.220836427,5020
572,2.134968777e-05,0.2134968777,509
573,1.964490103e-05,0.1964490103,0
574,1.869235052e-05,0.1869235052,28
575,1.768767853e-05,0.1768767853,0
576,1.66431217e-05,0.166431217,73
577,1.557139885e-05,0.1557139885,0
578,1.448528595e-05,0.1448528595,0
579,1.339722452e-05,0.1339722452,0
580,1.141587626e-05,0.1141587626,2764
581,1.048410381e-05,0.1048410381,15607
582,9.568579323e-06,0.09568579323,4478
583,8.678919495e-06,0.08678919495,38
584,7.823194453e-06,0.07823194453,413
585,7.007956276e-06,0.07007956276,3122
586,6.238304441e-06,0.06238304441,497
587,5.517977539e-06,0.05517977539,937
588,4.849462227e-06,0.04849462227,81
589,4.234112261e-06,0.04234112261,0
590,3.473422591e-06,0.03473422591,3
591,2.688331223e-06,0.02688331223,0
592,2.324395563e-06,0.02324395563,507
593,1.994680123e-06,0.01994680123,440
594,1.698615742e-06,0.01698615742,3011
595,1.435162939e-06,0.01435162939,1
596,1.116766297e-06,0.01116766297,1
597,7.735804009e-07,0.007735804009,0
598,6.500375384e-07,0.006500375384,0
599,5.407897745e-07,0.005407897745,0
600,4.454259967e-07,0.004454259967,0
601,3.632283224e-07,0.003632283224,0
602,1.235123046e-06,0.01235123046,2
603,1.457938184e-06,0.01457938184,9
604,1.75911661e-06,0.0175911661,35
605,2.14906716e-06,0.0214906716,0
606,2.63875466e-06,0.0263875466,0
607,3.239336361e-06,0.03239336361,0
608,3.961673981e-06,0.03961673981,0
609,4.766174553e-06,0.04766174553,0
610,5.772914016e-06,0.05772914016,1
611,6.922728341e-06,0.06922728341,28
612,8.218953915e-06,0.08218953915,28
613,9.66079477e-06,0.0966079477,0
614,1.12425861e-05,0.112425861,0
615,1.295318725e-05,0.1295318725,0
616,1.477556579e-05,0.1477556579,2
617,1.66866306e-05,0.166866306,0
618,1.865736202e-05,0.1865736202,0
619,2.065327276e-05,0.2065327276,0
620,2.263521259e-05,0.2263521259,20
621,2.456050714e-05,0.2456050714,48
622,2.638439485e-05,0.2638439485,2
623,2.845419072e-05,0.2845419072,0
624,3.983056086e-05,0.3983056086,19
625,4.31332561e-05,0.431332561,34
626,4.634383132e-05,0.4634383132,0
627,4.94074677e-05,0.494074677,24
628,5.227002246e-05,0.5227002246,33
629,5.48797925e-05,0.548797925,0
630,5.718926008e-05,0.5718926008,0
631,5.915673648e-05,0.5915673648,0
632,6.074782066e-05,0.6074782066,0
633,6.19365958e-05,0.619365958,5
634,6.270649797e-05,0.6270649797,0
635,6.305080665e-05,0.6305080665,42
636,6.297272672e-05,0.6297272672,0
637,6.248505424e-05,0.6248505424,0
638,6.173657739e-05,0.6173657739,0
639,6.054485812e-05,0.6054485812,0
640,5.904231114e-05,0.5904231114,0
641,5.727206041e-05,0.5727206041,0
642,5.528058277e-05,0.5528058277,0
643,5.462003365e-05,0.5462003365,0
644,5.254437033e-05,0.5254437033,0
645,5.040539924e-05,0.5040539924,4
646,4.824504132e-05,0.4824504132,7
647,4.610066639e-05,0.4610066639,78
648,4.400430176e-05,0.4400430176,449
649,4.198215437e-05,0.4198215437,29
650,4.00544313e-05,0.400544313,102
651,3.823542547e-05,0.3823542547,90
652,3.653382001e-05,0.3653382001,41
653,3.518636979e-05,0.3518636979,49
654,3.423178241e-05,0.3423178241,13
655,3.305644142e-05,0.3305644142,38
656,3.201670272e-05,0.3201670272,15
657,3.110398535e-05,0.3110398535,56
658,3.110524958e-05,0.3110524958,24
659,3.022204858e-05,0.3022204858,0
660,2.980192428e-05,0.2980192428,20
661,2.88590031e-05,0.288590031,65
662,2.865964225e-05,0.2865964225,49
663,2.846130065e-05,0.2846130065,72
664,2.825053389e-05,0.2825053389,48
665,2.801345078e-05,0.2801345078,22
666,2.773630064e-05,0.2773630064,5
667,2.588882019e-05,0.2588882019,57
668,2.573117209e-05,0.2573117209,0
669,2.546730515e-05,0.2546730515,0
670,2.509336189e-05,0.2509336189,759
671,2.460774923e-05,0.2460774923,3091
672,2.401140752e-05,0.2401140752,3734
673,2.330792701e-05,0.2330792701,81
674,2.250350953e-05,0.2250350953,0
675,2.160678605e-05,0.2160678605,1
676,2.062851066e-05,0.2062851066,83
677,1.95811592e-05,0.195811592,0
678,1.847846485e-05,0.1847846485,114
679,1.733492412e-05,0.1733492412,36
680,1.616530451e-05,0.1616530451,1791
681,1.498418128e-05,0.1498418128,9470
682,1.364125248e-05,0.1364125248,20085
683,1.252114582e-05,0.1252114582,19086
684,1.066353527e-05,0.1066353527,5081
685,9.686471478e-06,0.09686471478,1547
686,8.742855401e-06,0.08742855401,1111
687,7.840627397e-06,0.07840627397,2333
688,6.986129168e-06,0.06986129168,130
689,6.184171694e-06,0.06184171694,114
690,5.438129098e-06,0.05438129098,78
691,4.750051081e-06,0.04750051081,685
692,4.120788003e-06,0.04120788003,3108
693,3.366575859e-06,0.03366575859,0
694,2.565739788e-06,0.02565739788,0
695,2.203722204e-06,0.02203722204,133
696,1.877955376e-06,0.01877955376,636
697,1.47530903e-06,0.0147530903,0
698,1.248173303e-06,0.01248173303,0
699,1.046195178e-06,0.01046195178,0
700,7.131568074e-07,0.007131568074,0
701,5.933009807e-07,0.005933009807,0
702,4.886772885e-07,0.004886772885,0
703,1.203166589e-06,0.01203166589,15
704,1.377536762e-06,0.01377536762,12
705,1.628710723e-06,0.01628710723,24
706,1.96749021e-06,0.0196749021,93
707,2.405571947e-06,0.02405571947,4
708,2.955275353e-06,0.02955275353,0
709,3.629134121e-06,0.03629134121,385
710,4.439348611e-06,0.04439348611,7
711,5.342741336e-06,0.05342741336,0
712,6.471266631e-06,0.06471266631,0
713,7.760174634e-06,0.07760174634,0
714,9.213205335e-06,0.09213205335,3
715,1.082946648e-05,0.1082946648,0
716,1.260260799e-05,0.1260260799,6
717,1.45201415e-05,0.145201415,0
718,1.656297419e-05,0.1656297419,0
719,1.870522157e-05,0.1870522157,0
720,2.091435347e-05,0.2091435347,0
721,2.315171064e-05,0.2315171064,0
722,2.577633602e-05,0.2577633602,0
