cell_id,A_E2SFCA,A_per_10k,pop
204,2.071936776e-05,0.2071936776,0
205,1.983253756e-05,0.1983253756,0
206,1.908657535e-05,0.1908657535,3
207,1.848917552e-05,0.1848917552,217
208,1.801890676e-05,0.1801890676,16
209,1.763109434e-05,0.1763109434,3
210,1.726652266e-05,0.1726652266,11
211,1.686149785e-05,0.1686149785,441
212,1.635770479e-05,0.1635770479,2525
213,1.571044663e-05,0.1571044663,2375
214,0,0,0
215,0,0,0
216,0,0,1
217,0,0,21
218,0,0,17
219,0,0,6
220,0,0,6
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,7
225,0,0,9
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,1.721228241e-05,0.1721228241,1329
237,1.800832531e-05,0.1800832531,0
238,1.909377502e-05,0.1909377502,0
239,2.037892436e-05,0.2037892436,574
240,2.175291033e-05,0.2175291033,13
241,2.292104911e-05,0.2292104911,0
242,2.436128173e-05,0.2436128173,0
243,2.55234924e-05,0.255234924,0
244,2.5441862e-05,0.25441862,1
245,2.610210001e-05,0.2610210001,27
246,2.63076104e-05,0.263076104,1
247,2.609180685e-05,0.2609180685,1
248,2.55209557e-05,0.255209557,8
249,2.46860549e-05,0.246860549,39
250,2.369148325e-05,0.2369148325,0
251,2.264203165e-05,0.2264203165,0
252,2.163019901e-05,0.2163019901,14
253,2.072558825e-05,0.2072558825,954
254,1.996788452e-05,0.1996788452,5176
255,1.936430595e-05,0.1936430595,1230
256,1.889169664e-05,0.1889169664,293
257,1.850271145e-05,0.1850271145,2412
258,1.813494451e-05,0.1813494451,1540
259,1.772147318e-05,0.1772147318,5328
260,1.72011789e-05,0.172011789,16546
261,1.652736623e-05,0.1652736623,5654
262,0,0,0
263,0,0,0
264,0,0,10
265,0,0,0
266,0,0,179
267,0,0,295
268,0,0,9
269,0,0,6
270,0,0,11
271,0,0,8
272,0,0,7
273,0,0,7
274,0,0,0
275,0,0,0
276,0,0,0
277,0,0,0
278,0,0,0
279,0,0,0
280,0,0,0
281,0,0,0
282,0,0,0
283,0,0,6
284,0,0,0
285,1.962929594e-05,0.1962929594,1661
286,1.972447809e-05,0.1972447809,1352
287,2.019573709e-05,0.2019573709,2
288,2.098506e-05,0.2098506,0
289,2.200620682e-05,0.2200620682,0
290,2.314980055e-05,0.2314980055,15
291,2.405637149e-05,0.2405637149,1
292,2.535945138e-05,0.2535945138,8
293,2.640525093e-05,0.2640525093,2
294,2.7121973e-05,0.27121973,0
295,2.654638671e-05,0.2654638671,0
296,2.676102582e-05,0.2676102582,2
297,2.6549053e-05,0.26549053,3
298,2.597803324e-05,0.2597803324,781
299,2.514059902e-05,0.2514059902,1398
300,2.414287505e-05,0.2414287505,85
301,2.309126054e-05,0.2309126054,65
302,2.207948821e-05,0.2207948821,36
303,2.117783234e-05,0.2117783234,45
304,2.04259775e-05,0.204259775,47
305,1.983045647e-05,0.1983045647,121
306,1.936682998e-05,0.1936682998,242
307,1.8986045e-05,0.18986045,37
308,1.862379728e-05,0.1862379728,4
309,1.821133446e-05,0.1821133446,196
310,1.768602247e-05,0.1768602247,2103
311,1.710875209e-05,0.1710875209,5103
312,1.627439567e-05,0.1627439567,13
313,0,0,0
314,0,0,0
315,0,0,0
316,0,0,0
317,0,0,0
318,0,0,9
319,0,0,0
320,0,0,0
321,0,0,0
322,0,0,0
323,0,0,0
324,0,0,13
325,0,0,13
326,0,0,16
327,0,0,3
328,0,0,0
329,0,0,0
330,0,0,0
331,0,0,0
332,0,0,0
333,0,0,0
334,0,0,0
335,1.69182462e-06,0.0169182462,279
336,2.174898086e-06,0.02174898086,122
337,2.733700018e-06,0.02733700018,9
338,2.368250272e-05,0.2368250272,24
339,2.291696716e-05,0.2291696716,85
340,2.255827195e-05,0.2255827195,27
341,2.259022839e-05,0.2259022839,10
342,2.296489597e-05,0.2296489597,5
343,2.360438193e-05,0.2360438193,12
344,2.440552485e-05,0.2440552485,10
345,2.548666125e-05,0.2548666125,4
346,2.601757293e-05,0.2601757293,0
347,2.687091669e-05,0.2687091669,287
348,2.743134116e-05,0.2743134116,0
349,2.765157057e-05,0.2765157057,3
350,2.661684332e-05,0.2661684332,156
351,2.641360877e-05,0.2641360877,908
352,2.585539466e-05,0.2585539466,3256
353,2.503440091e-05,0.2503440091,110
354,2.405612711e-05,0.2405612711,14
355,2.302620018e-05,0.2302620018,0
356,2.203748524e-05,0.2203748524,57
357,2.115934646e-05,0.2115934646,127
358,2.043056585e-05,0.2043056585,43
359,1.985682633e-05,0.1985682633,192
360,1.941293059e-05,0.1941293059,212
361,1.904919257e-05,0.1904919257,88
362,1.870082667e-05,0.1870082667,92
363,1.829877051e-05,0.1829877051,56
364,1.788564488e-05,0.1788564488,38
365,1.724402277e-05,0.1724402277,1397
366,1.642312853e-05,0.1642312853,153
367,1.542123705e-05,0.1542123705,0
368,1.558865014e-07,0.001558865014,0
369,1.127450777e-07,0.001127450777,0
370,0,0,0
371,0,0,0
372,0,0,0
373,0,0,0
374,0,0,0
375,0,0,0
376,0,0,2
377,0,0,310
378,0,0,193
379,0,0,5
380,0,0,16
381,0,0,0
382,0,0,0
383,0,0,0
384,0,0,56
385,0,0,5
386,0,0,0
387,0,0,0
388,0,0,0
389,0,0,0
390,1.820428431e-06,0.01820428431,0
391,2.393474504e-06,0.02393474504,0
392,3.076892875e-06,0.03076892875,0
393,3.867446553e-06,0.03867446553,16
394,4.752965252e-06,0.04752965252,0
395,5.71127842e-06,0.0571127842,5
396,2.967195957e-05,0.2967195957,674
397,2.799672609e-05,0.2799672609,2087
398,2.668475954e-05,0.2668475954,278
399,2.576701697e-05,0.2576701697,31
400,2.524350892e-05,0.2524350892,71
401,2.508176597e-05,0.2508176597,1
402,2.521773438e-05,0.2521773438,15
403,2.555971967e-05,0.2555971967,30
404,2.623093504e-05,0.2623093504,28
405,2.636814332e-05,0.2636814332,1301
406,2.694804725e-05,0.2694804725,1044
407,2.728859036e-05,0.2728859036,1274
408,2.734105338e-05,0.2734105338,11
409,2.708600903e-05,0.2708600903,142
410,2.569450966e-05,0.2569450966,139
411,2.516122122e-05,0.2516122122,1
412,2.437454518e-05,0.2437454518,14
413,2.343702656e-05,0.2343702656,118
414,2.245119102e-05,0.2245119102,180
415,2.15069925e-05,0.215069925,35
416,2.067136428e-05,0.2067136428,40
417,1.998134409e-05,0.1998134409,79
418,1.944165708e-05,0.1944165708,120
419,1.902692389e-05,0.1902692389,170
420,2.001775593e-05,0.2001775593,214
421,1.977942501e-05,0.1977942501,403
422,1.955521727e-05,0.1955521727,85
423,1.912524955e-05,0.1912524955,145
424,1.851060446e-05,0.1851060446,325
425,1.768794439e-05,0.1768794439,81
426,1.665890509e-05,0.1665890509,835
427,1.544851495e-05,0.1544851495,33
428,2.777266277e-07,0.002777266277,973
429,2.054367929e-07,0.002054367929,18
430,1.485823787e-07,0.001485823787,0
431,1.050714586e-07,0.001050714586,0
432,0,0,0
433,0,0,0
434,0,0,0
435,0,0,0
436,0,0,0
437,0,0,4
438,0,0,4
439,0,0,0
440,0,0,0
441,0,0,0
442,0,0,0
443,0,0,0
444,0,0,8
445,0,0,230
446,0,0,0
447,0,0,0
448,0,0,6
449,0,0,0
450,1.872615555e-06,0.01872615555,0
451,2.518114354e-06,0.02518114354,0
452,3.310782453e-06,0.03310782453,0
453,4.256123439e-06,0.04256123439,0
454,5.349659736e-06,0.05349659736,23
455,6.574556749e-06,0.06574556749,8
456,7.900146979e-06,0.07900146979,0
457,4.975012892e-05,0.4975012892,0
458,4.778733417e-05,0.4778733417,0
459,4.546576086e-05,0.4546576086,1
460,4.291599386e-05,0.4291599386,0
461,4.026766937e-05,0.4026766937,4
462,3.764432092e-05,0.3764432092,13
463,3.515870387e-05,0.3515870387,197
464,3.290810148e-05,0.3290810148,41
465,3.096938073e-05,0.3096938073,7
466,2.93939906e-05,0.293939906,41
467,2.820353473e-05,0.2820353473,71
468,2.738685315e-05,0.2738685315,91
469,2.68996034e-05,0.268996034,234
470,2.666709661e-05,0.2666709661,137
471,2.681722449e-05,0.2681722449,463
472,2.646960253e-05,0.2646960253,12652
473,2.669413812e-05,0.2669413812,12381
474,2.675008809e-05,0.2675008809,3293
475,2.658745144e-05,0.2658745144,33
476,2.618196819e-05,0.2618196819,2573
477,2.553956912e-05,0.2553956912,1475
478,2.394131367e-05,0.2394131367,81
479,2.32045772e-05,0.232045772,179
480,2.232644033e-05,0.2232644033,46
481,2.140420281e-05,0.2140420281,37
482,2.052305561e-05,0.2052305561,190
483,1.974614036e-05,0.1974614036,54
484,2.057991161e-05,0.2057991161,56
485,2.029214911e-05,0.2029214911,183
486,2.010863082e-05,0.2010863082,115
487,1.997102525e-05,0.1997102525,187
488,1.980774987e-05,0.1980774987,532
489,1.967109207e-05,0.1967109207,725
490,1.929706068e-05,0.1929706068,813
491,1.872786002e-05,0.1872786002,606
492,1.794227575e-05,0.1794227575,3515
493,1.694426487e-05,0.1694426487,2461
494,1.576114867e-05,0.1576114867,3868
495,1.416809806e-05,0.1416809806,302
496,7.725093389e-07,0.007725093389,0
497,6.113350862e-07,0.006113350862,0
498,4.730241124e-07,0.004730241124,493
499,3.578620219e-07,0.003578620219,1238
500,2.647136384e-07,0.002647136384,1670
501,1.914544201e-07,0.001914544201,0
502,1.353888351e-07,0.001353888351,0
503,0,0,0
504,0,0,0
505,0,0,0
506,0,0,0
507,0,0,0
508,0,0,0
509,0,0,25
510,0,0,10
511,0,0,0
512,0,0,0
513,0,0,0
514,0,0,0
515,0,0,0
516,0,0,0
517,0,0,28
518,0,0,0
519,0,0,0
520,1.841536757e-06,0.01841536757,0
521,2.532671363e-06,0.02532671363,0
522,3.405694295e-06,0.03405694295,0
523,4.47776047e-06,0.0447776047,0
524,5.756313367e-06,0.05756313367,0
525,7.235297164e-06,0.07235297164,149
526,8.891943441e-06,0.08891943441,172
527,1.068477508e-05,0.1068477508,610
528,5.603203126e-05,0.5603203126,18
