cell_id,A_E2SFCA,A_per_10k,pop,A_norm01,A_pct
4214,0.0001961470501,1.961470501,0,0.511277557488255,86.61688684663986
4215,0.0001885341841,1.885341841,0,0.4914338354848855,85.45663411832281
4216,0.0001809573338,1.809573338,0,0.4716839921257161,84.23894313612867
4217,0.0001710588967,1.710588967,2,0.44588269284102644,82.50430786904079
4218,0.0001632579004,1.632579004,0,0.4255485897678193,80.78116025272831
4219,0.0001555554456,1.555554456,0,0.4054713452984278,79.11545089029293
4220,0.0001481315078,1.481315078,7,0.3861200841737073,77.4842044801838
4221,0.0001411350066,1.411350066,34,0.36788298072159864,76.02527283170592
4222,0.0001346793441,1.346793441,8,0.3510556292356304,74.64675473865594
4223,0.0001288398184,1.288398184,0,0.33583430199535963,73.3601378518093
4224,0.0001236529607,1.236529607,0,0.32231422134901216,72.0964962665135
4225,0.0001191177522,1.191177522,0,0.31049273168909725,71.10855829982768
4226,0.0001151985799,1.151985799,0,0.3002770040505829,69.82194141298105
4227,0.0001118297118,1.118297118,0,0.2914957011821993,68.92590465249856
4228,0.000108921002,1.08921002,0,0.2839138484791994,68.1792073520965
4229,0.0001059283277,1.059283277,17,0.27611313362938744,67.19126938541068
4230,0.0001036356544,1.036356544,12,0.27013704372976916,66.47903503733487
4231,0.000101455938,1.01455938,6,0.264455387663869,65.85870189546237
4232,9.926970116e-05,0.9926970116,30,0.2587567353972345,65.22688110281447
4233,9.696728597e-05,0.9696728597,5,0.25275525225452644,64.41125789775991
4234,9.445427406e-05,0.9445427406,0,0.2462048269963915,63.61860999425617
4235,9.165572385e-05,0.9165572385,0,0.23891011664949835,62.68811028144744
4236,8.765558626e-05,0.8765558626,2,0.22848334461499936,61.36703044227455
4237,8.438382213e-05,0.8438382213,3,0.21995515327992057,60.17231476163125
4238,8.005407662e-05,0.8005407662,6,0.2086692241376268,58.57553130384836
4239,7.611713807e-05,0.7611713807,0,0.19840718693238132,56.404365307294654
4240,7.179078482e-05,0.7179078482,0,0.18713010006636085,54.221711659965536
4241,6.62846151e-05,0.662846151,0,0.17277769963962922,51.568064330844344
4242,6.161509993e-05,0.6161509993,9,0.16060612576403538,49.41987363584147
4243,5.674621423e-05,0.5674621423,3,0.1479148719974538,47.29465824238943
4244,5.177550391e-05,0.5177550391,5,0.1349582018354728,44.882251579551976
4245,4.679686009e-05,0.4679686009,4,0.12198085218583055,42.55025847214245
