mun,cells,pop,A_mean,A_p05,A_p95,Gini
Chercos,12.0,292.0,0.0002713564920565068,0.00026323191605,0.00028056703084,0.003632529969293863
Chirivel,190.0,1490.0,5.607390356516108e-06,1.20145377605e-06,1.8959454717999988e-05,0.15354124348764397
Cuevas del Almanzora,265.0,14309.0,4.02743755079088e-05,4.6030157098000005e-06,6.120527549799998e-05,0.19597161401723828
Cóbdar,32.0,162.0,0.00025622553277530863,0.00021132260489,0.00026893174138,0.014973401601699021
Cúllar,2.0,0.0,5.926510079e-06,5.4360992644999995e-06,6.4169208935e-06,
Dalías,140.0,4093.0,6.58512663294234e-05,3.9462633876e-05,9.180330701549995e-05,0.02162475876880432
"Ejido, El",219.0,81601.0,3.28099118263161e-05,1.7024281838e-05,4.5827478623e-05,0.09858871862143925
Enix,69.0,536.0,4.6483185080820904e-05,2.3038603094e-05,7.9195729304e-05,0.06827547793212019
Felix,81.0,677.0,4.506625091060561e-05,3.521284234e-05,8.523575214e-05,0.01139744130152931
Fines,23.0,2207.0,0.00015456133409642045,9.6551286422e-05,0.0001808585463,0.0019169563057015448
Fiñana,111.0,1992.0,0.0003079386412162148,0.00015412541145,0.00032487141555,0.010340293271311363
Fondón,93.0,1036.0,0.00018129409421669887,0.00011143525392000001,0.00029198311639999994,0.04156889113799811
"Gallardos, Los",34.0,2985.0,8.356439940673032e-05,7.5839922506e-05,8.793994106049999e-05,0.014985292788459947
Garrucha,7.0,6613.0,4.061304741127174e-05,3.9977413836e-05,4.8801263821999995e-05,0.5040071357413054
Gádor,83.0,2846.0,5.59122791391286e-05,4.2927598189e-05,8.862058678999999e-05,0.008175871864744888
Gérgal,234.0,1100.0,0.00014835366143054545,0.00010408207917000001,0.000191542334485,0.04523027800869994
Huécija,19.0,499.0,0.00012396173690841684,8.8358763e-05,0.00013192447203999998,0.6641888317394878
Huéneja,4.0,0.0,0.0001369438685,0.00011458852067,0.00016046610422,
Huércal de Almería,24.0,19053.0,1.8081012815645306e-05,1.62525153605e-05,3.6950289337499994e-05,0.09123499832032389
Huércal-Overa,319.0,19647.0,3.938246908705496e-05,6.3693200372e-06,8.398776749899998e-05,0.1491087225787483
Instinción,33.0,467.0,0.0001760193894224839,9.6666293862e-05,0.00021325424303999998,0.003788725040364316
Laroya,22.0,194.0,0.00023256712997680412,0.00020731688553,0.000255933373735,0.008081225131445047
Lorca,40.0,102.0,2.2606973426941178e-06,0.0,4.693346347799999e-06,0.33887246731301146
Lubrín,137.0,1474.0,0.00013662512409240164,0.00010490502390000001,0.00018999381196,0.05636684734572084
Lucainena de las Torres,122.0,599.0,3.913987919370618e-05,2.5220226477e-05,0.00011598519129999998,0.07784313224572259
Láujar de Andarax,95.0,1590.0,0.00017974900845597487,0.00012444656763,0.0002811311411,0.018581750083928372
Líjar,29.0,414.0,0.00024196256739275363,0.00022273076668,0.00026416242262,0.0073795085031928
Lúcar,92.0,780.0,9.670120764721795e-05,1.8174220335e-05,0.00010590852687000001,0.10036314446276862
Macael,46.0,5484.0,0.0001835611791697666,0.00018020885704999999,0.00025459930694999997,0.014356673030518352
María,208.0,1267.0,5.385235221782163e-07,0.0,1.1230450660999985e-06,0.11594953610720227
"Mojonera, La",23.0,8451.0,2.2945257291263756e-05,1.9271076791e-05,3.018003615e-05,0.04678491623131553
Mojácar,64.0,2679.0,5.23305461546286e-05,4.7979862958e-05,7.332002514000001e-05,0.0367882385903856
Nacimiento,81.0,486.0,0.0002413742016084362,0.0002022747367,0.0003002121603,0.012781409551188117
Nevada,4.0,0.0,0.000113561987675,0.00011126477001,0.000115728901005,
Níjar,590.0,31345.0,9.272849801115858e-06,0.0,4.882336435849999e-05,0.44451081434800577
Ohanes,34.0,561.0,0.0002876301692319073,0.000286177487725,0.000366462345065,0.9542196164351042
Olula de Castro,32.0,189.0,0.00015990286610052912,0.000130817429565,0.00017396603792,0.0068838823232364454
Olula del Río,21.0,6176.0,0.00014873655512514573,8.27708508e-05,0.0001666070691,0.021081845591166437
Orce,4.0,0.0,1.001213926e-06,1.7994399390000002e-07,1.4701969231e-06,
Oria,227.0,2231.0,3.449586366241999e-05,8.923700800100001e-06,6.460853674999999e-05,0.17692050056446051
Padules,26.0,436.0,0.00022064851676307338,0.0001044888192,0.000233560422225,0.0025252548414959053
Partaloa,55.0,962.0,0.00011634926205847193,7.2378621968e-05,0.0001342554749,0.06609497017370392
Paterna del Río,43.0,396.0,0.0001442128066638889,0.00012948344265,0.00018689651378,0.233087711956538
Pechina,47.0,4012.0,2.514436121062064e-05,1.5015223108e-05,2.7095913595e-05,0.03546254101927371
Puerto Lumbreras,13.0,70.0,4.492262060542858e-06,3.6441145069999998e-06,4.7912065806e-06,0.038682620539424506
Pulpí,74.0,9430.0,2.3840020724217393e-06,6.31292189655e-07,4.639551370599998e-06,0.1842848870191599
Purchena,55.0,1629.0,0.00015022115625966235,3.5775545014e-05,0.00019603697223,0.045894018613632626
Rioja,36.0,1603.0,4.211741315164066e-05,2.9120016744999998e-05,5.36396527325e-05,0.03907255578112834
Roquetas de Mar,65.0,94640.0,1.9798559586868446e-05,1.5740970829999997e-05,3.1077968757999995e-05,0.07517424720868493
Rágol,27.0,304.0,0.00018319604656085527,0.00014480179226000002,0.00026512390503,0.9609662057162199
Santa Cruz de Marchena,19.0,190.0,0.00017019227051,0.00013550350708,0.00017845644526999998,0.013716941321743614
Santa Fe de Mondújar,36.0,558.0,8.254446763442653e-05,6.967458685499999e-05,0.00011484805695,0.09534010277434446
Senés,51.0,298.0,0.00024126181474999996,0.0001885738695,0.00026019956995,0.0156698766638943
Serón,164.0,2255.0,0.00011539212019113083,3.41882980455e-05,0.00017464237105499998,0.09044005637229158
Sierro,27.0,379.0,0.00018886622421451186,0.00018030362494,0.00024395869774,0.9583537707983187
